"ID","Date","CrimeActivity","StormActivity","Zone","City"
2030511,2019-10-01,"Violent Crime","Coastal Flood","COASTAL MIAMI-DADE COUNTY","South Miami"
2030427,2019-10-01,"Murder and Non-negligent manslaughter","Strong Wind Rain","COASTAL MIAMI-DADE COUNTY","Biscayne Park"
2030423,2019-10-01,"Motor Vehicle - Theft","Lightning","COASTAL MIAMI-DADE COUNTY","Miami Beach"
2030451,2019-10-01,"Murder and Non-negligent manslaughter","Thunderstorm Wind","METROPOLITAN MIAMI-DADE","Sweetwater"
2030340,2019-10-01,"Violent Crime","Tropical Storm","COASTAL MIAMI-DADE COUNTY","Miami Springs"
2030543,2019-10-01,"Aggravated Assault","Hail","COASTAL MIAMI-DADE COUNTY","Miami Gardens"
2030320,2019-10-01,"Robbery","Lightning","COASTAL MIAMI-DADE COUNTY","Surfside"
2030545,2019-10-01,"Property Crime","Lightning","MIAMI-DADE CO.","Aventura"
2030579,2019-10-01,"Larcency- Theft","Thunderstorm Wind","COASTAL MIAMI-DADE COUNTY","Miami Shores"
2030583,2019-10-02,"Larcency- Theft","Lightning","MIAMI-DADE CO.","Hialeah Gardens"
2030349,2019-10-03,"Burglary","Tropical Storm","COASTAL MIAMI-DADE COUNTY","Surfside"
2030409,2019-10-03,"Motor Vehicle - Theft","Storm Surge/Tide","METROPOLITAN MIAMI-DADE","Homestead"
2030493,2019-10-03,"Larcency- Theft","Hail","COASTAL MIAMI-DADE COUNTY","Miami Shores"
2030420,2019-10-03,"Larcency- Theft","Thunderstorm Wind","INLAND MIAMI-DADE","Bal Harbour"
2030355,2019-10-03,"Robbery","Thunderstorm Wind","COASTAL MIAMI-DADE COUNTY","Miami Beach"
2030573,2019-10-04,"Burglary","Storm Surge/Tide","COASTAL MIAMI-DADE COUNTY","Miami Shores"
2030556,2019-10-04,"Violent Crime","Flash Flood","INLAND MIAMI-DADE","Bal Harbour"
2030353,2019-10-04,"Burglary","Thunderstorm Wind","METROPOLITAN MIAMI-DADE","Hialeah"
2030350,2019-10-04,"Aggravated Assault","Flash Flood","INLAND MIAMI-DADE","Bay Harbor Islands"
2030547,2019-10-04,"Violent Crime","Coastal Flood","METROPOLITAN MIAMI-DADE","Homestead"
2030368,2019-10-04,"Motor Vehicle - Theft","Thunderstorm Wind","COASTAL MIAMI-DADE COUNTY","Key Biscayne"
2030513,2019-10-05,"Larcency- Theft","Coastal Flood","COASTAL MIAMI-DADE COUNTY","Miami Gardens"
2030581,2019-10-05,"Motor Vehicle - Theft","Storm Surge/Tide","COASTAL MIAMI-DADE COUNTY","North Miami"
2030569,2019-10-05,"Motor Vehicle - Theft","Lightning","MIAMI-DADE CO.","Indian Creek"
2030492,2019-10-06,"Violent Crime","Hail","COASTAL MIAMI-DADE COUNTY","North Bay Village"
2030351,2019-10-06,"Larcency- Theft","Coastal Flood","COASTAL MIAMI-DADE COUNTY","Biscayne Park"
2030402,2019-10-06,"Murder and Non-negligent manslaughter","Tropical Storm","MIAMI-DADE CO.","Virginia Gardens"
2030504,2019-10-06,"Burglary","Strong Wind Rain","COASTAL MIAMI-DADE COUNTY","North Miami Beach"
2030509,2019-10-07,"Property Crime","Flash Flood","COASTAL MIAMI-DADE COUNTY","North Bay Village"
2030529,2019-10-07,"Robbery","Hail","COASTAL MIAMI-DADE COUNTY","Key Biscayne"
2030527,2019-10-07,"Murder and Non-negligent manslaughter","Coastal Flood","COASTAL MIAMI-DADE COUNTY","North Miami Beach"
2030544,2019-10-07,"Robbery","Flash Flood","MIAMI-DADE CO.","Golden Beach"
2030315,2019-10-08,"Robbery","Storm Surge/Tide","INLAND MIAMI-DADE","Doral"
2030561,2019-10-08,"Property Crime","Tropical Storm","INLAND MIAMI-DADE","Bal Harbour"
2030480,2019-10-08,"Property Crime","Coastal Flood","COASTAL MIAMI-DADE COUNTY","Miami Beach"
2030429,2019-10-08,"Murder and Non-negligent manslaughter","Lightning","COASTAL MIAMI-DADE COUNTY","North Miami Beach"
2030510,2019-10-08,"Aggravated Assault","Lightning","MIAMI-DADE CO.","Indian Creek"
2030564,2019-10-08,"Burglary","Thunderstorm Wind","COASTAL MIAMI-DADE COUNTY","Surfside"
2030554,2019-10-09,"Burglary","Thunderstorm Wind","METROPOLITAN MIAMI-DADE","Homestead"
2030576,2019-10-09,"Motor Vehicle - Theft","Hail","MIAMI-DADE CO.","Medley"
2030592,2019-10-09,"Burglary","Lightning","COASTAL MIAMI-DADE COUNTY","Surfside"
2030442,2019-10-09,"Burglary","Flash Flood","METROPOLITAN MIAMI-DADE","Sweetwater"
2030309,2019-10-10,"Aggravated Assault","Tropical Storm","COASTAL MIAMI-DADE COUNTY","North Miami"
2030344,2019-10-10,"Violent Crime","Strong Wind Rain","MIAMI-DADE CO.","Virginia Gardens"
2030394,2019-10-11,"Violent Crime","Lightning","INLAND MIAMI-DADE","Bay Harbor Islands"
2030501,2019-10-11,"Larcency- Theft","Lightning","INLAND MIAMI-DADE","Doral"
2030411,2019-10-11,"Burglary","Strong Wind Rain","COASTAL MIAMI-DADE COUNTY","Miami Shores"
2030338,2019-10-11,"Larcency- Theft","Coastal Flood","COASTAL MIAMI-DADE COUNTY","North Bay Village"
2030403,2019-10-11,"Murder and Non-negligent manslaughter","Strong Wind Rain","MIAMI-DADE CO.","Cutler Bay"
2030352,2019-10-11,"Burglary","Flash Flood","METROPOLITAN MIAMI-DADE","Pinecrest"
2030537,2019-10-12,"Property Crime","Strong Wind Rain","METROPOLITAN MIAMI-DADE","Hialeah"
2030400,2019-10-12,"Motor Vehicle - Theft","Storm Surge/Tide","MIAMI-DADE CO.","Golden Beach"
2030465,2019-10-12,"Motor Vehicle - Theft","Coastal Flood","COASTAL MIAMI-DADE COUNTY","Miami Gardens"
2030356,2019-10-12,"Murder and Non-negligent manslaughter","Storm Surge/Tide","MIAMI-DADE CO.","El Portal"
2030562,2019-10-12,"Murder and Non-negligent manslaughter","Tropical Storm","METROPOLITAN MIAMI-DADE","Hialeah"
2030385,2019-10-12,"Aggravated Assault","Thunderstorm Wind","COASTAL MIAMI-DADE COUNTY","North Miami Beach"
2030358,2019-10-12,"Motor Vehicle - Theft","Coastal Flood","COASTAL MIAMI-DADE COUNTY","Surfside"
2030447,2019-10-13,"Violent Crime","Strong Wind Rain","COASTAL MIAMI-DADE COUNTY","Miami Springs"
2030464,2019-10-13,"Aggravated Assault","Hail","COASTAL MIAMI-DADE COUNTY","West Miami"
2030321,2019-10-13,"Violent Crime","Strong Wind Rain","COASTAL MIAMI-DADE COUNTY","Surfside"
2030306,2019-10-13,"Burglary","Coastal Flood","INLAND MIAMI-DADE","Palmetto Bay"
2030459,2019-10-13,"Property Crime","Coastal Flood","COASTAL MIAMI-DADE COUNTY","Sunny Isles Beach"
2030382,2019-10-13,"Larcency- Theft","Hail","COASTAL MIAMI-DADE COUNTY","Miami Shores"
2030539,2019-10-14,"Violent Crime","Flash Flood","COASTAL MIAMI-DADE COUNTY","Miami Springs"
2030485,2019-10-14,"Property Crime","Hail","COASTAL MIAMI-DADE COUNTY","Surfside"
2030445,2019-10-14,"Motor Vehicle - Theft","Strong Wind Rain","MIAMI-DADE CO.","Virginia Gardens"
2030499,2019-10-14,"Property Crime","Hail","COASTAL MIAMI-DADE COUNTY","Surfside"
2030454,2019-10-14,"Violent Crime","Strong Wind Rain","COASTAL MIAMI-DADE COUNTY","Key Biscayne"
2030551,2019-10-14,"Robbery","Hail","COASTAL MIAMI-DADE COUNTY","South Miami"
2030437,2019-10-14,"Robbery","Tropical Storm","METROPOLITAN MIAMI-DADE","Pinecrest"
2030446,2019-10-14,"Burglary","Hail","MIAMI-DADE CO.","Indian Creek"
2030318,2019-10-14,"Property Crime","Flash Flood","COASTAL MIAMI-DADE COUNTY","Miami Springs"
2030553,2019-10-15,"Murder and Non-negligent manslaughter","Storm Surge/Tide","INLAND MIAMI-DADE","Miami"
2030387,2019-10-15,"Robbery","Strong Wind Rain","MIAMI-DADE CO.","Indian Creek"
2030337,2019-10-15,"Violent Crime","Hail","INLAND MIAMI-DADE","Bal Harbour"
2030436,2019-10-15,"Violent Crime","Strong Wind Rain","MIAMI-DADE CO.","Virginia Gardens"
2030392,2019-10-15,"Larcency- Theft","Lightning","COASTAL MIAMI-DADE COUNTY","Sunny Isles Beach"
2030474,2019-10-15,"Murder and Non-negligent manslaughter","Strong Wind Rain","COASTAL MIAMI-DADE COUNTY","Miami Shores"
2030476,2019-10-16,"Burglary","Flash Flood","METROPOLITAN MIAMI-DADE","Homestead"
2030296,2019-10-16,"Larcency- Theft","Strong Wind Rain","COASTAL MIAMI-DADE COUNTY","Miami Shores"
2030410,2019-10-16,"Robbery","Thunderstorm Wind","INLAND MIAMI-DADE","Doral"
2030413,2019-10-16,"Violent Crime","Tropical Storm","INLAND MIAMI-DADE","Coral Gables"
2030417,2019-10-16,"Larcency- Theft","Strong Wind Rain","COASTAL MIAMI-DADE COUNTY","Surfside"
2030557,2019-10-16,"Robbery","Strong Wind Rain","METROPOLITAN MIAMI-DADE","Pinecrest"
2030530,2019-10-17,"Violent Crime","Tropical Storm","COASTAL MIAMI-DADE COUNTY","South Miami"
2030291,2019-10-17,"Robbery","Tropical Storm","COASTAL MIAMI-DADE COUNTY","North Bay Village"
2030487,2019-10-17,"Larcency- Theft","Strong Wind Rain","METROPOLITAN MIAMI-DADE","Homestead"
2030299,2019-10-17,"Violent Crime","Thunderstorm Wind","INLAND MIAMI-DADE","Palmetto Bay"
2030559,2019-10-17,"Murder and Non-negligent manslaughter","Strong Wind Rain","INLAND MIAMI-DADE","Bal Harbour"
2030526,2019-10-17,"Larcency- Theft","Hail","METROPOLITAN MIAMI-DADE","Florida City"
